,Time lags,Number of directions,Number of layers,Dropout percent,MAE (cross-validation),MSE (cross-validation),RMSE (cross-validation)
0,10,1,1,0.0,0.08398270551444961,0.015849478337076117,0.12306738710789358
4,10,1,1,0.2,0.08431954855868593,0.015895296178798174,0.12348111899466471
8,10,1,1,0.4,0.08652663282558627,0.016528590311834176,0.1260147274283408
12,10,2,1,0.0,0.07417072760837373,0.012899044769012668,0.11167885653191761
16,10,2,1,0.2,0.07558386887381935,0.013377519345507433,0.11346281412313619
20,10,2,1,0.4,0.07550487135330107,0.013339562253876218,0.11333715648821141
24,10,1,2,0.0,0.11620640227832096,0.027217303891263686,0.16473865896646644
28,10,1,2,0.2,0.11649047701943283,0.027342950033036013,0.16512261052287489
32,10,1,2,0.4,0.11695152469880105,0.027534150050408608,0.16573643651688585
36,10,2,2,0.0,0.10788385722632717,0.023986642483431905,0.15407597334751003
40,10,2,2,0.2,0.10849835928314627,0.024204189914154593,0.15481301943519293
44,10,2,2,0.4,0.10965408431059219,0.02460966396871879,0.15623661761101781
48,20,1,1,0.0,0.08123980650632329,0.014998518547955215,0.1200540850355373
52,20,1,1,0.2,0.08277902042639398,0.015564500581057017,0.12209559732398474
56,20,1,1,0.4,0.08238186791268122,0.01537246315028248,0.12147145925383587
60,20,2,1,0.0,0.07211389062601384,0.012163006172437906,0.10900537086157694
64,20,2,1,0.2,0.07281702325042035,0.012346828234594476,0.10978469479358345
68,20,2,1,0.4,0.07334825339466473,0.012524644250817913,0.11053381953463902
72,20,1,2,0.0,0.11492828815745038,0.02670896895201383,0.16316017217667925
76,20,1,2,0.2,0.11497200681060094,0.02671348908428782,0.16320305498477375
80,20,1,2,0.4,0.11533068247336167,0.02685781028000756,0.16365818309302124
84,20,2,2,0.0,0.105482184806801,0.023062944671441564,0.15104224622784485
88,20,2,2,0.2,0.10578130590326314,0.02318173280421386,0.15146474718078795
92,20,2,2,0.4,0.1056756181529699,0.023131101782104254,0.1512299932724635
